Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.694,"$3,609","$3,500","$3,300","$4,000",SIT,2018,No,SIT GES 2018,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2018
Bachelor of Business Administration in Food Business Management,The Culinary Institute of America,0.649,"$2,929","$2,663","$2,415","$3,300",SIT,2018,No,SIT GES 2018,Bachelor of Business Administration in Food Business Management | SIT 2018
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.547,"$3,055","$2,950","$2,550","$3,000",SIT,2018,No,SIT GES 2018,Bachelor of Arts with Honours in Communication Design | SIT 2018
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.769,"$2,796","$2,775","$2,500","$3,000",SIT,2018,No,SIT GES 2018,Bachelor of Arts with Honours in Interior Design | SIT 2018
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.707,"$3,454","$3,200","$3,000","$3,500",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2018
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.618,"$3,451","$3,380","$3,025","$3,875",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2018
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.906,"$3,718","$3,500","$3,100","$4,000",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2018
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.873,"$3,812","$3,600","$3,275","$4,298",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Mechatronics | SIT 2018
Bachelor of Science with Honours in Computing Science,University of Glasgow,0.893,"$3,996","$4,000","$3,500","$4,225",SIT,2018,No,SIT GES 2018,Bachelor of Science with Honours in Computing Science | SIT 2018
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.742,"$3,726","$3,729","$3,260","$4,100",SIT,2018,No,SIT GES 2018,Bachelor of Arts with Honours in Criminology & Security | SIT 2018
Bachelor of Science in Early Childhood Education,Wheelock College,0.982,"$2,911","$2,925","$2,800","$3,100",SIT,2018,No,SIT GES 2018,Bachelor of Science in Early Childhood Education | SIT 2018
Accountancy,Nanyang Business School,0.940,"$3,254","$3,000","$3,000","$3,200",NTU,2019,No,NTU GES 2019,Accountancy | NTU 2019
Accountancy & Business,Nanyang Business School,0.952,"$4,359","$4,000","$3,200","$4,600",NTU,2019,No,NTU GES 2019,Accountancy & Business | NTU 2019
Business,Nanyang Business School,0.831,"$3,797","$3,600","$3,200","$4,000",NTU,2019,No,NTU GES 2019,Business | NTU 2019
Business and Computing,Nanyang Business School,0.833,"$4,562","$4,833","$3,600","$5,000",NTU,2019,No,NTU GES 2019,Business and Computing | NTU 2019
Aerospace Engineering,College of Engineering,0.807,"$3,939","$3,800","$3,500","$4,600",NTU,2019,No,NTU GES 2019,Aerospace Engineering | NTU 2019
Aerospace Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Aerospace Engineering and Economics | NTU 2019
Bioengineering,College of Engineering,0.641,"$3,548","$3,500","$3,200","$3,700",NTU,2019,No,NTU GES 2019,Bioengineering | NTU 2019
Business and Computer Engineering,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Business and Computer Engineering | NTU 2019
Chemical & Biomolecular Engineering,College of Engineering,0.781,"$3,921","$3,800","$3,500","$4,300",NTU,2019,No,NTU GES 2019,Chemical & Biomolecular Engineering | NTU 2019
Chemical & Biomolecular Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Chemical & Biomolecular Engineering and Economics | NTU 2019
Civil Engineering,College of Engineering,0.906,"$3,582","$3,500","$3,300","$3,900",NTU,2019,No,NTU GES 2019,Civil Engineering | NTU 2019
Civil Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Civil Engineering and Economics | NTU 2019
Computer Engineering,College of Engineering,0.946,"$4,074","$4,000","$3,600","$4,500",NTU,2019,No,NTU GES 2019,Computer Engineering | NTU 2019
Computer Science,College of Engineering,0.959,"$4,309","$4,200","$3,800","$4,900",NTU,2019,No,NTU GES 2019,Computer Science | NTU 2019
Electrical & Electronic Engineering,College of Engineering,0.871,"$3,884","$3,700","$3,500","$4,000",NTU,2019,No,NTU GES 2019,Electrical & Electronic Engineering | NTU 2019
Environmental Engineering,College of Engineering,0.774,"$3,596","$3,510","$3,400","$3,800",NTU,2019,No,NTU GES 2019,Environmental Engineering | NTU 2019
Environmental Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Environmental Engineering and Economics | NTU 2019
Information Engineering & Media,College of Engineering,0.853,"$4,006","$4,000","$3,600","$4,350",NTU,2019,No,NTU GES 2019,Information Engineering & Media | NTU 2019
Maritime Studies,College of Engineering,0.932,"$3,669","$3,500","$3,300","$3,700",NTU,2019,No,NTU GES 2019,Maritime Studies | NTU 2019
Materials Engineering,College of Engineering,0.760,"$3,817","$3,600","$3,300","$4,175",NTU,2019,No,NTU GES 2019,Materials Engineering | NTU 2019
Materials Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Materials Engineering and Economics | NTU 2019
Mechanical Engineering,College of Engineering,0.821,"$3,728","$3,600","$3,380","$4,005",NTU,2019,No,NTU GES 2019,Mechanical Engineering | NTU 2019
Mechanical Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2019,Suppressed,NTU GES 2019,Mechanical Engineering and Economics | NTU 2019
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.509,"$3,068","$3,000","$2,800","$3,500",NTU,2019,No,NTU GES 2019,"Art, Design & Media | NTU 2019"
Chinese,"College of Humanities, Arts, & Social Sciences",0.790,"$3,260","$3,210","$2,980","$3,500",NTU,2019,No,NTU GES 2019,Chinese | NTU 2019
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.694,"$3,264","$3,200","$2,800","$3,500",NTU,2019,No,NTU GES 2019,Communication Studies | NTU 2019
Economics,"College of Humanities, Arts, & Social Sciences",0.798,"$3,453","$3,400","$3,050","$3,600",NTU,2019,No,NTU GES 2019,Economics | NTU 2019
English,"College of Humanities, Arts, & Social Sciences",0.649,"$2,997","$3,000","$2,565","$3,500",NTU,2019,No,NTU GES 2019,English | NTU 2019
History,"College of Humanities, Arts, & Social Sciences",0.568,"$3,498","$3,500","$3,200","$3,800",NTU,2019,No,NTU GES 2019,History | NTU 2019
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.650,"$3,365","$3,200","$3,000","$3,740",NTU,2019,No,NTU GES 2019,Linguistics & Multilingual Studies | NTU 2019
Philosophy,"College of Humanities, Arts, & Social Sciences",0.696,"$3,369","$3,500","$3,300","$3,584",NTU,2019,No,NTU GES 2019,Philosophy | NTU 2019
Psychology,"College of Humanities, Arts, & Social Sciences",0.731,"$3,506","$3,400","$3,100","$3,800",NTU,2019,No,NTU GES 2019,Psychology | NTU 2019
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.878,"$3,868","$3,850","$3,500","$4,345",NTU,2019,No,NTU GES 2019,Public Policy & Global Affairs | NTU 2019
Sociology,"College of Humanities, Arts, & Social Sciences",0.705,"$3,441","$3,300","$3,040","$3,600",NTU,2019,No,NTU GES 2019,Sociology | NTU 2019
Biological Sciences,College of Science,0.663,"$3,450","$3,300","$3,100","$3,600",NTU,2019,No,NTU GES 2019,Biological Sciences | NTU 2019
Biomedical Sciences & Chinese Medicine,College of Science,0.857,"$2,979","$3,000","$2,780","$3,200",NTU,2019,No,NTU GES 2019,Biomedical Sciences & Chinese Medicine | NTU 2019
Chemistry & Biological Chemistry,College of Science,0.662,"$3,338","$3,400","$3,000","$3,600",NTU,2019,No,NTU GES 2019,Chemistry & Biological Chemistry | NTU 2019
Environmental Earth Systems Sciences,College of Science,0.792,"$3,416","$3,500","$3,200","$3,500",NTU,2019,No,NTU GES 2019,Environmental Earth Systems Sciences | NTU 2019
Mathematical Sciences,College of Science,0.796,"$3,848","$3,599","$3,215","$4,070",NTU,2019,No,NTU GES 2019,Mathematical Sciences | NTU 2019
Mathematics & Economics,College of Science,0.848,"$3,996","$3,700","$3,400","$4,167",NTU,2019,No,NTU GES 2019,Mathematics & Economics | NTU 2019
Physics & Applied Physics,College of Science,0.786,"$3,849","$3,500","$3,300","$4,200",NTU,2019,No,NTU GES 2019,Physics & Applied Physics | NTU 2019
Arts (With Education),National Institute of Education (NIE),1.000,"$3,710","$3,800","$3,600","$3,806",NTU,2019,No,NTU GES 2019,Arts (With Education) | NTU 2019
Science (With Education),National Institute of Education (NIE),1.000,"$3,758","$3,800","$3,660","$3,840",NTU,2019,No,NTU GES 2019,Science (With Education) | NTU 2019
Sports Science & Management,Sports Science & Management,0.556,"$3,438","$3,350","$3,000","$3,660",NTU,2019,No,NTU GES 2019,Sports Science & Management | NTU 2019
Medicine,Lee Kong Chian School of Medicine,1.000,"$5,661","$5,700","$5,200","$6,092",NTU,2019,No,NTU GES 2019,Medicine | NTU 2019
Bachelor of Arts,Faculty of Arts & Social Sciences,0.645,"$3,456","$3,200","$2,800","$3,700",NUS,2019,No,NUS GES 2019,Bachelor of Arts | NUS 2019
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.682,"$3,537","$3,500","$3,250","$3,800",NUS,2019,No,NUS GES 2019,Bachelor of Arts (Hons) | NUS 2019
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.759,"$3,674","$3,500","$3,212","$3,850",NUS,2019,No,NUS GES 2019,Bachelor of Social Sciences | NUS 2019
Bachelor of Dental Surgery,Faculty of Dentistry,0.973,"$4,068","$4,200","$4,000","$4,500",NUS,2019,No,NUS GES 2019,Bachelor of Dental Surgery | NUS 2019
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.686,"$3,535","$3,500","$3,200","$3,800",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Biomedical Engineering) | NUS 2019
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.867,"$3,959","$3,950","$3,500","$4,300",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Chemical Engineering) | NUS 2019
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.930,"$3,746","$3,600","$3,400","$4,025",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Civil Engineering) | NUS 2019
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.852,"$4,101","$4,000","$3,600","$4,600",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Electrical Engineering) | NUS 2019
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.846,"$4,285","$3,750","$3,400","$5,200",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Engineering Science) | NUS 2019
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.807,"$3,569","$3,400","$3,200","$3,900",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Environmental Engineering) | NUS 2019
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.965,"$4,451","$4,000","$3,500","$4,600",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2019
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.762,"$4,086","$4,000","$3,700","$4,600",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Materials Science & Engineering) | NUS 2019
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.867,"$3,847","$3,700","$3,400","$4,300",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Mechanical Engineering) | NUS 2019
Bachelor of Laws,Faculty of Law,0.930,"$5,160","$5,400","$4,500","$5,800",NUS,2019,No,NUS GES 2019,Bachelor of Laws | NUS 2019
Bachelor of Science,Faculty of Science,0.593,"$3,320","$3,100","$2,900","$3,600",NUS,2019,No,NUS GES 2019,Bachelor of Science | NUS 2019
Bachelor of Science (Hons),Faculty of Science,0.723,"$3,605","$3,500","$3,100","$3,800",NUS,2019,No,NUS GES 2019,Bachelor of Science (Hons) | NUS 2019
Bachelor of Science (Computational Biology),Faculty of Science,0.000,$0,$0,$0,$0,NUS,2019,Suppressed,NUS GES 2019,Bachelor of Science (Computational Biology) | NUS 2019
Bachelor of Science (Pharmacy),Faculty of Science,0.955,"$3,840","$3,750","$3,500","$4,000",NUS,2019,No,NUS GES 2019,Bachelor of Science (Pharmacy) | NUS 2019
Bachelor of Business Administration,NUS Business School,0.826,"$4,925","$4,000","$3,400","$5,500",NUS,2019,No,NUS GES 2019,Bachelor of Business Administration | NUS 2019
Bachelor of Business Administration (Hons),NUS Business School,0.910,"$4,593","$4,150","$3,500","$5,000",NUS,2019,No,NUS GES 2019,Bachelor of Business Administration (Hons) | NUS 2019
Bachelor of Business Administration (Accountancy),NUS Business School,0.938,"$4,005","$3,000","$3,000","$3,800",NUS,2019,No,NUS GES 2019,Bachelor of Business Administration (Accountancy) | NUS 2019
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.978,"$4,093","$3,600","$3,000","$4,500",NUS,2019,No,NUS GES 2019,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2019
Bachelor of Computing (Computer Science),School of Computing,0.906,"$5,571","$5,000","$4,205","$5,585",NUS,2019,No,NUS GES 2019,Bachelor of Computing (Computer Science) | NUS 2019
Bachelor of Computing (Electronic Commerce),School of Computing,0.000,$0,$0,$0,$0,NUS,2019,Suppressed,NUS GES 2019,Bachelor of Computing (Electronic Commerce) | NUS 2019
Bachelor of Computing (Information Security),School of Computing,0.000,$0,$0,$0,$0,NUS,2019,Suppressed,NUS GES 2019,Bachelor of Computing (Information Security) | NUS 2019
Bachelor of Computing (Information Systems),School of Computing,0.959,"$4,330","$4,228","$4,000","$4,685",NUS,2019,No,NUS GES 2019,Bachelor of Computing (Information Systems) | NUS 2019
Bachelor of Science (Business Analytics),School of Computing,1.000,"$4,881","$5,000","$4,050","$5,200",NUS,2019,No,NUS GES 2019,Bachelor of Science (Business Analytics) | NUS 2019
Bachelor of Arts (Architecture),School of Design & Environment,0.960,"$4,199","$4,100","$3,800","$4,500",NUS,2019,No,NUS GES 2019,Bachelor of Arts (Architecture) | NUS 2019
Bachelor of Arts (Industrial Design),School of Design & Environment,0.483,"$3,245","$3,300","$3,000","$3,500",NUS,2019,No,NUS GES 2019,Bachelor of Arts (Industrial Design) | NUS 2019
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.806,"$3,243","$3,155","$3,000","$3,480",NUS,2019,No,NUS GES 2019,Bachelor of Science (Project & Facilities Management) | NUS 2019
Bachelor of Science (Real Estate),School of Design & Environment,0.896,"$3,494","$3,400","$3,100","$3,650",NUS,2019,No,NUS GES 2019,Bachelor of Science (Real Estate) | NUS 2019
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,0.995,"$5,218","$5,237","$4,950","$5,657",NUS,2019,No,NUS GES 2019,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2019
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.891,"$3,314","$3,358","$3,200","$3,450",NUS,2019,No,NUS GES 2019,Bachelor of Science (Nursing) | NUS 2019
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.975,"$3,612","$3,650","$3,515","$3,750",NUS,2019,No,NUS GES 2019,Bachelor of Science (Nursing) (Hons) | NUS 2019
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.391,"$3,575","$3,500","$2,875","$3,900",NUS,2019,No,NUS GES 2019,Bachelor of Music | NUS 2019
Bachelor of Arts with Honours,Yale-NUS College,0.770,"$4,197","$3,684","$3,400","$4,567",NUS,2019,No,NUS GES 2019,Bachelor of Arts with Honours | NUS 2019
Bachelor of Science with Honours,Yale-NUS College,0.895,"$7,139","$5,000","$4,150","$9,967",NUS,2019,No,NUS GES 2019,Bachelor of Science with Honours | NUS 2019
Bachelor of Engineering (Computer Engineering),Multidisciplinary Programme,0.917,"$4,732","$4,000","$3,750","$4,900",NUS,2019,No,NUS GES 2019,Bachelor of Engineering (Computer Engineering) | NUS 2019
Bachelor of Environmental Studies,Multidisciplinary Programme,0.674,"$3,332","$3,325","$3,000","$3,600",NUS,2019,No,NUS GES 2019,Bachelor of Environmental Studies | NUS 2019
Accountancy,School of Accountancy,0.937,"$3,802","$3,050","$3,000","$4,000",SMU,2019,No,SMU GES 2019,Accountancy | SMU 2019
Accountancy (cum laude & above),School of Accountancy,0.979,"$4,431","$3,600","$3,000","$5,000",SMU,2019,No,SMU GES 2019,Accountancy (cum laude & above) | SMU 2019
Business Management,School of Business,0.848,"$4,181","$3,750","$3,300","$4,600",SMU,2019,No,SMU GES 2019,Business Management | SMU 2019
Business Management (cum laude & above),School of Business,0.904,"$4,614","$4,167","$3,600","$5,120",SMU,2019,No,SMU GES 2019,Business Management (cum laude & above) | SMU 2019
Economics,School of Economics,0.813,"$4,159","$3,900","$3,500","$4,500",SMU,2019,No,SMU GES 2019,Economics | SMU 2019
Economics (cum laude & above),School of Economics,0.899,"$4,520","$4,038","$3,600","$4,600",SMU,2019,No,SMU GES 2019,Economics (cum laude & above) | SMU 2019
Information Systems,School of Information Systems,0.902,"$4,549","$4,300","$4,000","$5,000",SMU,2019,No,SMU GES 2019,Information Systems | SMU 2019
Information Systems (cum laude & above),School of Information Systems,0.960,"$5,212","$5,000","$4,300","$5,550",SMU,2019,No,SMU GES 2019,Information Systems (cum laude & above) | SMU 2019
Social Sciences,School of Social Sciences,0.828,"$3,629","$3,500","$3,065","$4,000",SMU,2019,No,SMU GES 2019,Social Sciences | SMU 2019
